Expense,Planned/Rea,Type,Date,Month,Year,Amount,Comments,Account
Akasse,Rea,👩 Anna,01/01/24,1,2024,-1450,,Anna
Akasse,Rea,👩 Anna,01/02/24,2,2024,,,Anna
Akasse,Rea,👩 Anna,01/03/24,3,2024,,,Anna
Akasse,Rea,👩 Anna,01/04/24,4,2024,-1450,,Anna
Akasse,Rea,👩 Anna,01/05/24,5,2024,,,Anna
Akasse,Rea,👩 Anna,01/06/24,6,2024,,,Anna
Akasse,Rea,👩 Anna,01/07/24,7,2024,-1450,,Anna
Akasse,Rea,👩 Anna,01/08/24,8,2024,,,Anna
Akasse,Rea,👩 Anna,01/09/24,9,2024,,,Anna
Akasse,Rea,👩 Anna,01/10/24,10,2024,-1450,,Anna
Akasse,Rea,👩 Anna,01/11/24,11,2024,0,,Anna
Akasse,Rea,👩 Anna,01/12/24,12,2024,0,,Anna
Bike repair,Rea,👩 Anna,01/01/24,1,2024,-550,,Anna
Bike repair,Rea,👩 Anna,01/02/24,2,2024,0,,Anna
Bike repair,Rea,👩 Anna,01/03/24,3,2024,0,,Anna
Bike repair,Rea,👩 Anna,01/04/24,4,2024,0,,Anna
Bike repair,Rea,👩 Anna,01/05/24,5,2024,0,,Anna
Bike repair,Rea,👩 Anna,01/06/24,6,2024,0,,Anna
Bike repair,Rea,👩 Anna,01/07/24,7,2024,-8000,new bike,Anna
Bike repair,Rea,👩 Anna,01/08/24,8,2024,,,Anna
Bike repair,Rea,👩 Anna,01/09/24,9,2024,,,Anna
Bike repair,Rea,👩 Anna,01/10/24,10,2024,0,,Anna
Bike repair,Rea,👩 Anna,01/11/24,11,2024,0,,Anna
Bike repair,Rea,👩 Anna,01/12/24,12,2024,0,,Anna
Cafe/bar/restaurant,Rea,👩 Anna,01/01/24,1,2024,,,Anna
Cafe/bar/restaurant,Rea,👩 Anna,01/02/24,2,2024,-1790,Middag med fam,Anna
Cafe/bar/restaurant,Rea,👩 Anna,01/03/24,3,2024,,,Anna
Cafe/bar/restaurant,Rea,👩 Anna,01/04/24,4,2024,-487,Frokost + netto,Anna
Cafe/bar/restaurant,Rea,👩 Anna,01/05/24,5,2024,-1111,BCN,Anna
Cafe/bar/restaurant,Rea,👩 Anna,01/06/24,6,2024,-2118,BCN restaurants + frokost dk,Anna
Cafe/bar/restaurant,Rea,👩 Anna,01/07/24,7,2024,-650,baka dbusk restaurant,Anna
Cafe/bar/restaurant,Rea,👩 Anna,01/08/24,8,2024,,,Anna
Cafe/bar/restaurant,Rea,👩 Anna,01/09/24,9,2024,-320,Novo,Anna
Cafe/bar/restaurant,Rea,👩 Anna,01/10/24,10,2024,-439,,Anna
Cafe/bar/restaurant,Rea,👩 Anna,01/11/24,11,2024,-1273,"wine club, out w. jeramie, sweden",Anna
Cafe/bar/restaurant,Rea,👩 Anna,01/12/24,12,2024,-473,,Anna
Clothes,Rea,👩 Anna,01/01/24,1,2024,-780,shoes,Anna
Clothes,Rea,👩 Anna,01/02/24,2,2024,,,Anna
Clothes,Rea,👩 Anna,01/03/24,3,2024,,,Anna
Clothes,Rea,👩 Anna,01/04/24,4,2024,-530,sko bilka,Anna
Clothes,Rea,👩 Anna,01/05/24,5,2024,-4150,BCN shopping,Anna
Clothes,Rea,👩 Anna,01/06/24,6,2024,-4300,"BCN shopping, doll (present) Shoes + magasin",Anna
Clothes,Rea,👩 Anna,01/07/24,7,2024,-2840,Clothes,Anna
Clothes,Rea,👩 Anna,01/08/24,8,2024,-475,Clothes and shoes,Anna
Clothes,Rea,👩 Anna,01/09/24,9,2024,,,Anna
Clothes,Rea,👩 Anna,01/10/24,10,2024,,,Anna
Clothes,Rea,👩 Anna,01/11/24,11,2024,-1700,"xmas pyjamas, løbesko",Anna
Clothes,Rea,👩 Anna,01/12/24,12,2024,0,,Anna
Hobby,Rea,👩 Anna,01/01/24,1,2024,,,Anna
Hobby,Rea,👩 Anna,01/02/24,2,2024,,,Anna
Hobby,Rea,👩 Anna,01/03/24,3,2024,,,Anna
Hobby,Rea,👩 Anna,01/04/24,4,2024,,,Anna
Hobby,Rea,👩 Anna,01/05/24,5,2024,,,Anna
Hobby,Rea,👩 Anna,01/06/24,6,2024,,,Anna
Hobby,Rea,👩 Anna,01/07/24,7,2024,,,Anna
Hobby,Rea,👩 Anna,01/08/24,8,2024,,,Anna
Hobby,Rea,👩 Anna,01/09/24,9,2024,,,Anna
Hobby,Rea,👩 Anna,01/10/24,10,2024,-240,hobby + scout,Anna
Hobby,Rea,👩 Anna,01/11/24,11,2024,0,,Anna
Hobby,Rea,👩 Anna,01/12/24,12,2024,-212,,Anna
Misc,Rea,👩 Anna,01/01/24,1,2024,-3994,New glasses,Anna
Misc,Rea,👩 Anna,01/02/24,2,2024,,,Anna
Misc,Rea,👩 Anna,01/03/24,3,2024,,,Anna
Misc,Rea,👩 Anna,01/04/24,4,2024,,,Anna
Misc,Rea,👩 Anna,01/05/24,5,2024,0,,Anna
Misc,Rea,👩 Anna,01/06/24,6,2024,-873,Haircut tossa + Books,Anna
Misc,Rea,👩 Anna,01/07/24,7,2024,-750,Bachelorette party,Anna
Misc,Rea,👩 Anna,01/08/24,8,2024,-500,Scout event,Anna
Misc,Rea,👩 Anna,01/08/24,8,2024,-1130,matas and normal - for wedding,Anna
Misc,Rea,👩 Anna,01/09/24,9,2024,-500,,Anna
Misc,Rea,👩 Anna,01/10/24,10,2024,-435,subsciption + spotify (emil) + vegetarsamfund ,Anna
Misc,Rea,👩 Anna,01/11/24,11,2024,-690,wine shopping + donation (jens),Anna
Misc,Rea,👩 Anna,01/12/24,12,2024,-106,,Anna
Phone,Rea,👩 Anna,01/01/24,1,2024,-59,,Anna
Phone,Rea,👩 Anna,01/02/24,2,2024,-59,,Anna
Phone,Rea,👩 Anna,01/03/24,3,2024,-59,,Anna
Phone,Rea,👩 Anna,01/04/24,4,2024,-59,,Anna
Phone,Rea,👩 Anna,01/05/24,5,2024,-59,,Anna
Phone,Rea,👩 Anna,01/06/24,6,2024,-59,,Anna
Phone,Rea,👩 Anna,01/07/24,7,2024,-59,,Anna
Phone,Rea,👩 Anna,01/08/24,8,2024,-59,,Anna
Phone,Rea,👩 Anna,01/09/24,9,2024,-59,,Anna
Phone,Rea,👩 Anna,01/10/24,10,2024,-59,,Anna
Phone,Rea,👩 Anna,01/11/24,11,2024,-59,,Anna
Phone,Rea,👩 Anna,01/12/24,12,2024,-59,,Anna
Cleaning,Rea,🏠 Home,01/01/24,1,2024,,,Joint
Cleaning,Rea,🏠 Home,01/02/24,2,2024,,,Joint
Cleaning,Rea,🏠 Home,01/03/24,3,2024,,,Joint
Presents,Rea,👩 Anna,01/04/24,4,2024,,,Anna
Cleaning,Rea,🏠 Home,01/05/24,5,2024,-1600,,Joint
Cleaning,Rea,🏠 Home,01/06/24,6,2024,,,Joint
Cleaning,Rea,🏠 Home,01/07/24,7,2024,,,Joint
Cleaning,Rea,🏠 Home,01/08/24,8,2024,-1600,,Joint
Cleaning,Rea,🏠 Home,01/09/24,9,2024,-1600,,Joint
Cleaning,Rea,🏠 Home,01/10/24,10,2024,-1600,,Joint
Cleaning,Rea,🏠 Home,01/11/24,11,2024,-1600,,Joint
Cleaning,Rea,🏠 Home,01/12/24,12,2024,-1200,,Joint
Furniture Misc,Rea,🏠 Home,01/01/24,1,2024,,,Joint
Furniture Misc,Rea,🏠 Home,01/02/24,2,2024,,,Joint
Furniture Misc,Rea,🏠 Home,01/03/24,3,2024,,,Joint
Rejsekort,Rea,👩 Anna,01/04/24,4,2024,0,,Anna
Furniture Misc,Rea,🏠 Home,01/05/24,5,2024,,,Joint
Furniture Misc,Rea,🏠 Home,01/06/24,6,2024,-2000,Jysk,Joint
Furniture Misc,Rea,🏠 Home,01/06/24,6,2024,-536,,Joint
Furniture Misc,Rea,🏠 Home,01/07/24,7,2024,-2224,,Joint
Furniture Misc,Rea,🏠 Home,01/08/24,8,2024,-2244,Wardrobe,Joint
Furniture Misc,Rea,🏠 Home,01/09/24,9,2024,-1100,"Bunk Bed, Commode",Joint
Furniture Misc,Rea,🏠 Home,01/10/24,10,2024,-4758,"Matress Bunkbed, Candles. Pillows Jysk",Joint
Furniture Misc,Rea,🏠 Home,01/11/24,11,2024,-367,Candles,Joint
Furniture Misc,Rea,🏠 Home,01/12/24,12,2024,-2257,"photos, water filter",Joint
Rent,Rea,🏠 Home,01/01/24,1,2024,-12400,,Joint
Rent,Rea,🏠 Home,01/02/24,2,2024,-12400,,Joint
Rent,Rea,🏠 Home,01/03/24,3,2024,-12400,,Joint
Travel personal,Rea,👩 Anna,01/04/24,4,2024,0,,Anna
Rent,Rea,🏠 Home,01/05/24,5,2024,-12400,,Joint
Rent,Rea,🏠 Home,01/06/24,6,2024,-12400,,Joint
Rent,Rea,🏠 Home,01/07/24,7,2024,-12400,,Joint
Rent,Rea,🏠 Home,01/08/24,8,2024,-12400,,Joint
Rent,Rea,🏠 Home,01/09/24,9,2024,-12400,,Joint
Rent,Rea,🏠 Home,01/10/24,10,2024,-12400,,Joint
Rent,Rea,🏠 Home,01/11/24,11,2024,-12400,,Joint
Rent,Rea,🏠 Home,01/12/24,12,2024,-12400,,Joint
Car Service,Rea,🚗 Car,01/01/24,1,2024,,,Joint
Car Service,Rea,🚗 Car,01/02/24,2,2024,,,Joint
Car Service,Rea,🚗 Car,01/03/24,3,2024,,,Joint
Car Service,Rea,🚗 Car,01/05/24,5,2024,,,Joint
Car Service,Rea,🚗 Car,01/06/24,6,2024,,,Joint
Car Service,Rea,🚗 Car,01/07/24,7,2024,,,Joint
Car Service,Rea,🚗 Car,01/08/24,8,2024,-2330,Car service,Joint
Car Service,Rea,🚗 Car,01/09/24,9,2024,-1500,,Joint
Car Service,Rea,🚗 Car,01/10/24,10,2024,,,Joint
